"Acount","Cost","Billing","Margin","Impressions"
"actor_i39reHl7iMk03aaKxXmsNdPqE0Ievc","$48,368.81","$69,095.06","30.00%","37,123,287"
"actor_38OrsGKnv2EnEilCTMbz80ig8Aag8","$32,200.78","$51,347.29","37.29%","12,553,960"
"actor_XWOm2u94dUBj4rdE8ivbBpV4xmrWg","$6,978.20","$10,099.26","30.90%","11,097,623"
"actor_2qL0253I3LmKgsC7c760zrutSrgW6x","$5,857.04","$9,365.86","37.46%","2,910,331"
"actor_ATxhfpUHrPpm5s1iU4LOAH2WrcLkTJ","$7,675.57","$9,029.23","14.99%","8,899,497"
"actor_lBRjeMwLWBy7nQeMplIRVuRhQV9","$5,633.94","$8,047.99","30.00%","10,694,423"
"actor_UGofIMmKhTS829ar971KbMqfRFyM","$4,881.36","$6,972.65","29.99%","17,604,465"
"actor_n8q7IDEMysmDeHaR3K5itxNSbono4r","$4,806.83","$6,949.30","30.83%","27,907,364"
"actor_UaUGrc8JEhSR95xaLuLMQDwprdLlEn","$2,973.58","$6,431.89","53.77%","2,162,978"
"actor_sPkRhNFQydDsumHKLyukrxcCrRHsu","$3,830.30","$5,471.26","29.99%","9,616,977"
"actor_LsCO3CwhyUXlzCMQf3ueOFPf7Ij2","$2,794.36","$3,991.84","30.00%","1,854,628"
"actor_r61zuGsTS4aPuyMA4dwIv4hy8tfFir","$2,641.80","$3,300.11","19.95%","2,203,613"
"actor_NWpliIGFi7gCVtzlktF1vUpL96y0M","$2,099.87","$2,999.03","29.98%","1,612,895"
"actor_UD3ygc49bco2D1BzuVvB5VQncAOw9k","$1,400.97","$2,001.34","30.00%","1,849,148"
"actor_J7xaflkf1BczOdOpAJKwuK4zAbk27T","$996.48","$1,423.53","30.00%","615,115"
"actor_2Dv6b2xAFXFni2y1ny9VxbOn00MADo","$1,035.51","$1,389.68","25.49%","1,648,826"
"actor_Ei1mBnJom1gbmaCuCCmwGeWAFifq","$820.11","$1,171.52","30.00%","367,757"
"actor_utofqnge9csQ28OQQR98SfuezPOcs2","$789.64","$1,128.03","30.00%","596,716"
"actor_nOd02HcrfPJ8d8MtQzpq82ORCzTjkm","$607.47","$1,012.43","40.00%","167,176"
"actor_ubyA1H4VDJqmxvBwhLVr35aBqRAj","$631.52","$902.14","30.00%","264,828"
"actor_mSRoiI7jsn8A27tn60tonRewJglO","$596.03","$851.45","30.00%","651,255"
"actor_MjwPipI1TkXVXKEcCjGqmmhaPEhc4Q","$416.32","$609.79","31.73%","209,993"
"actor_bOO9xqzbz5V71mv9j1Axw0U3yOrwwI","$355.33","$590.56","39.83%","257,926"
"actor_4ynD74RPNkBT4LoaabXPAPKPdkey9p","$351.83","$502.43","29.97%","479,566"
"actor_7xsnRM1n8WtC0tXdxQJUa00xTk27Cl","$292.08","$417.25","30.00%","36,928"
"actor_yVOj0QTWRI3eA2Lz9nDUBQqfTp4dEQ","$263.78","$376.80","30.00%","117,313"
"actor_OVP5Nv2aD4Nn0cypRx5r6LvGSmwF","$174.27","$248.96","30.00%","19,408"
"actor_VKNCUDO2KQTCv0SQAoAX1EkqqX0ji","$155.93","$222.66","29.97%","232,780"
"actor_zB01JsbqQ7uRsLaRCa2MwWL9PFwstl","$96.13","$137.33","30.00%","220,137"
"actor_K66MSMJMI01nXB4qXiPX7Ca4rUvgHD","$71.32","$101.82","29.95%","138,092"
"actor_G1kxrOMjBkWO8fkLMIICjIUf4i8UeL","$49.04","$70.02","29.96%","70,197"
"actor_JivgharH3ggfaMTORVlfR6dBwdiigR","$47.51","$67.84","29.97%","66,491"
"actor_QVAJjkxL4ldx4P6zF8DsgMKfqKQJO","$31.83","$45.45","29.96%","45,649"
"actor_QvqNRqIIy12mL6BEU6BBW9B0PPg4eD","$7.08","$10.11","29.97%","10,931"
"actor_Xec8kHAKCzIb2jPb1SqzivEMWjjFu","$1.80","$2.58","30.00%","116"
"actor_lEpEUbzrV77dwSCoAMQUIbV9L6V5KC","$1.07","$1.52","30.00%","1,535"
"actor_24qMNe7o9JVotXQMmxjR8g9G1SqnlX","$0.05","$0.08","29.87%","347"
"actor_mjwpipi1tkxvxkeccjgqmmhapehc4q","$0.05","$0.07","29.97%","48"
"actor_xwom2u94dubj4rde8ivbbpv4xmrwg","$0.02","$0.02","29.97%","17"
"actor_ugofimmkhts829ar971kbmqfrfym","$0.02","$0.02","29.97%","16"
"actor_UGofIMmKhTS829ar971KbMqfRFyM\","$0.01","$0.01","29.97%","8"
"actor_MjwPipI1TkXVXKEcCjGqmmhaPEhc4Q&data={}","$0.01","$0.01","29.97%","6"
"actor_n8q7idemysmdehar3k5itxnsbono4r","$0.00","$0.00","29.97%","3"
"actor_3cLUsl0U5EJf1rc0Nl1Qboo61kfLks","$0.00","$0.00","","10"