"Time","Instance Id","As Group","requests","bids","Worker Id"
"19/12/2021 13:23","5.79.125.8","servers.com","1","1",-1
"19/12/2021 13:23","5.79.125.8","servers.com","1","1",-1
"19/12/2021 13:23","5.79.125.8","servers.com","1","1",-1
"19/12/2021 13:23","5.79.125.8","servers.com","2","2",-1
"19/12/2021 13:23","5.79.125.8","servers.com","2","2",-1
"19/12/2021 13:23","5.79.125.8","servers.com","2","2",-1
"19/12/2021 13:23","5.79.125.8","servers.com","21","3",-1
"19/12/2021 13:23","5.79.125.8","servers.com","2","2",-1
"19/12/2021 13:23","5.79.125.8","servers.com","1","1",-1
"19/12/2021 13:23","5.79.125.8","servers.com","17","7",-1
"19/12/2021 13:23","5.79.125.8","servers.com","2","2",-1
"19/12/2021 13:23","5.79.125.8","servers.com","1","1",-1
"19/12/2021 13:23","5.79.125.8","servers.com","1","1",-1
"19/12/2021 13:23","5.79.125.8","servers.com","1","1",-1
"19/12/2021 13:23","5.79.125.8","servers.com","1","1",-1
"19/12/2021 13:23","5.79.125.8","servers.com","2","2",-1
"19/12/2021 13:23","5.79.125.8","servers.com","62","17",-1
"19/12/2021 13:23","5.79.125.8","servers.com","1","1",-1
"19/12/2021 13:23","5.79.125.8","servers.com","2","2",-1
"19/12/2021 13:23","5.79.125.8","servers.com","1","1",-1
"19/12/2021 13:23","5.79.125.8","servers.com","1","1",-1
"19/12/2021 13:23","5.79.125.8","servers.com","2","2",-1
"19/12/2021 13:23","5.79.125.8","servers.com","8","3",-1
"19/12/2021 13:23","5.79.125.8","servers.com","1","1",-1
"19/12/2021 13:23","5.79.125.8","servers.com","1","1",-1
"19/12/2021 13:23","5.79.125.8","servers.com","1","1",-1
"19/12/2021 13:23","5.79.125.8","servers.com","1","1",-1
"19/12/2021 13:23","5.79.125.8","servers.com","12","5",-1
"19/12/2021 13:23","5.79.125.8","servers.com","1","1",-1
"19/12/2021 13:23","5.79.125.8","servers.com","2","2",-1
"19/12/2021 13:23","5.79.125.8","servers.com","2","2",-1