"Time","Instance Id","az","resTime","errors","Instance Type","requests","qps","bids"
"12/12/2021 10:30","127.94.0.1",,,,,"0","0","0"
"12/12/2021 10:30","23.19.73.28",,,,,"0","0","0"
"12/12/2021 10:30","5.79.126.199","AMS",172,0,"HP DL380eG8 - E5-2420","126,661","2111","462"
"12/12/2021 10:30","5.79.126.198","AMS",173,0,"HP DL380eG8 - E5-2420","125,301","2088","441"
"12/12/2021 10:30","5.79.126.195","AMS",198,0,"HP DL380eG8 - E5-2420","124,972","2083","422"
"12/12/2021 10:30","95.211.125.231","AMS",190,0,"HP DL380eG8 - E5-2420","124,901","2082","412"
"12/12/2021 10:30","5.79.126.200","AMS",178,0,"HP DL380eG8 - E5-2420","124,887","2081","400"
"12/12/2021 10:30","95.211.125.238","AMS",189,0,"HP DL380eG8 - E5-2420","124,886","2081","419"
"12/12/2021 10:30","5.79.125.7","AMS",177,0,"HP DL380eG8 - E5-2420","124,372","2073","401"
"12/12/2021 10:30","5.79.125.8","AMS",191,0,"HP DL380eG8 - E5-2420","124,060","2068","425"
"12/12/2021 10:30","23.106.249.43","SGP",679,0,"HP DL120 G9 Xeon E5-1650v","27,205","453","139"
"12/12/2021 10:30","23.106.253.48","SGP",656,0,"HP DL120 G9 Xeon E5-1650v","27,049","451","130"
"12/12/2021 10:30","209.58.168.143","SGP",992,0,"Dell R620 2x Intel Xeon E","27,001","450","149"
"12/12/2021 10:30","209.58.170.136","SGP",725,0,"HP DL120 G9 Xeon E5-1650v","26,971","450","134"
"12/12/2021 10:30","23.82.11.27","USE",255,0,"2x Intel Xeon E5-2420","222,808","3713","6,715"
"12/12/2021 10:30","162.210.198.66","USE",417,0,"2x Intel Xeon E5-2420","181,054","3018","4,546"
"12/12/2021 10:30","108.59.9.182","USE",225,0,"2x Intel Xeon E5-2420","142,081","2368","4,385"
"12/12/2021 10:30","207.244.116.242","USE",206,0,"2x Intel Xeon E5-2420","64,518","1075","2,085"
"12/12/2021 10:30","207.244.116.243","USE",206,0,"2x Intel Xeon E5-2420","64,129","1069","2,153"
"12/12/2021 10:30","23.105.170.102","USE",255,0,"2x Intel Xeon E5-2420","63,897","1065","2,057"
"12/12/2021 10:30","207.244.125.214","USE",209,0,"2x Intel Xeon E5-2420","61,216","1020","2,049"
"12/12/2021 10:30","207.244.125.221","USE",213,0,"2x Intel Xeon E5-2420","59,986","1000","2,027"
"12/12/2021 10:30","207.244.69.201","USE",209,0,"2x Intel Xeon E5-2420","37,923","632","455"
"12/12/2021 10:30","23.19.65.146","USW",375,0,"2x Intel Xeon E5-2630v4","54,619","910","7,097"
"12/12/2021 10:30","23.19.65.148","USW",374,0,"2x Intel Xeon E5-2630v4","54,201","903","7,147"