"Account","Wins","clicks","CPC","CTR","Cost","Spend","Profit"
"actor_n8q7IDEMysmDeHaR3K5itxNSbono4r","39,105","44","$0.24","0.11%","$7.27","$10.38","$3.11"
"actor_sPkRhNFQydDsumHKLyukrxcCrRHsu","68,662","109","$0.29","0.16%","$21.95","$31.35","$9.41"
"actor_UGofIMmKhTS829ar971KbMqfRFyM","52","52","$0.00","100.00%","$0.05","$0.07","$0.02"
"actor_zB01JsbqQ7uRsLaRCa2MwWL9PFwstl","2","0","$0.00","0.00%","$0.00","$0.00","$0.00"
"actor_ATxhfpUHrPpm5s1iU4LOAH2WrcLkTJ","15","2","$0.03","13.33%","$0.04","$0.05","$0.01"
"actor_XWOm2u94dUBj4rdE8ivbBpV4xmrWg","1,708,133","3,970","$0.19","0.23%","$526.35","$751.92","$225.57"
"actor_38OrsGKnv2EnEilCTMbz80ig8Aag8","23,535","44","$1.98","0.19%","$60.96","$87.08","$26.12"
"actor_LsCO3CwhyUXlzCMQf3ueOFPf7Ij2","36,307","87","$0.98","0.24%","$59.85","$85.49","$25.65"
"actor_UaUGrc8JEhSR95xaLuLMQDwprdLlEn","268,858","1,888","$0.22","0.70%","$269.90","$412.21","$142.31"
"actor_MjwPipI1TkXVXKEcCjGqmmhaPEhc4Q","15,579","980","$0.05","6.29%","$30.80","$50.15","$19.35"
"actor_bOO9xqzbz5V71mv9j1Axw0U3yOrwwI","0","1","$0.00","0.00%","$0.00","$0.00","$0.00"