"Exchang name","Exchange","Num","Requests"
"Pubmatic","exchange_JgqyQFEHCi","33","25"
"ShowCase Ads","exchange_BBVFy3l4UB","151","33,966,086"
"Google Adx","exchange_FHTdban0dWKfSa2xOJI9qIQyXH7CLq","13","2,013,433,012"
"Beachfront","exchange_sQcqbo4KvZ","48","177,827,091"
"Epom (premium)","06MPNRTu7T","162","370,478,829"
"AdColoni (bw)","exchange_iNJ1vqDfVJ","177","50,204,847"
"717Studio","WbAs5oTI2","158","4,412,184"
"openrtbio","exchange_66t0aUcCix","97","602,566"
"PubNative (bw)","exchange_iNJ1vqDfPN","178","42,368,461"
"Algorix (bw)","exchange_iNJ1vqDfAR","179","16,227,278"