"Exchang name","Exchange","Wins","clicks","CPC","CTR","Cost","Spend","Profit"
"ShowCase Ads","exchange_BBVFy3l4UB","226,797","538","$0.27","0.24%","$87.59","$143.27","$55.68"
"Google Adx","exchange_FHTdban0dWKfSa2xOJI9qIQyXH7CLq","1,892,541","3,374","$0.68","0.18%","$1,237.29","$2,282.28","$1,044.98"
"Beachfront","exchange_sQcqbo4KvZ","14,098","20","$0.36","0.14%","$5.00","$7.14","$2.14"
"Epom (premium)","06MPNRTu7T","16,040","20","$1.55","0.12%","$21.61","$30.94","$9.34"
"AdColoni (bw)","exchange_iNJ1vqDfVJ","126,366","359","$0.61","0.28%","$113.69","$218.56","$104.87"
"717Studio","WbAs5oTI2","39,136","736","$0.39","1.88%","$171.74","$289.24","$117.50"
,"facebook","3","4","$0.00","133.33%","$0.00","$0.00","$0.00"
"PubNative (bw)","exchange_iNJ1vqDfPN","37,638","154","$0.42","0.41%","$35.51","$65.15","$29.64"
"Algorix (bw)","exchange_iNJ1vqDfAR","22,843","35","$3.06","0.15%","$62.01","$107.22","$45.21"
,"undefined","0","25","$0.00","0.00%","$0.00","$0.00","$0.00"